,name,clock tower,darshanlal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,asley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,ranipokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university/gehu,hathibadkala,garhi cant,vijay coloney,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna coloney,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikasnagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
0,clock tower,0.0,0.212,1.457,5.84,6.965,0.567,2.103,7.497,4.664,4.606,1.481,4.353,22.858,18.273,16.683,1.006,5.875,5.045,6.646,4.839,5.102,1.006,5.761,4.245,1.603,3.688,4.695,7.708,3.642,3.383,3.325,1.592,1.651,2.571,0.953,2.781,2.473,0.771,0.771,0.771,0.58,6.93,5.883,2.195,1.901,1.723,1.527,0.95,2.974,4.353,13.058,30.191,8.922,5.812,5.905,1.108,3.163,7.066,2.157,7.828,0.551,1.988,,0.95,1.108,2.019,41.215,19.855,0.408,23.6,24.472,23.6,18.384,7.838,8.778,7.571,5.2,4.073,25.993,0.212,1.148,0.952,14.117,11.985,7.821,0.212
1,darshanlal chowk,0.212,0.0,1.419,5.746,6.835,0.676,2.067,7.31,4.582,4.475,1.324,4.193,22.675,18.064,16.476,1.022,5.679,4.842,6.442,4.632,4.895,1.022,5.635,4.092,1.411,3.55,4.886,7.579,3.432,3.219,3.233,1.469,1.565,2.404,0.778,2.855,2.655,0.923,0.923,0.923,0.378,7.094,5.986,2.069,1.762,1.565,1.35,0.923,2.765,4.193,12.862,30.35,8.926,5.807,5.919,0.898,2.955,7.226,1.953,7.96,0.345,2.092,,0.923,0.898,1.809,41.331,19.985,0.241,23.723,24.553,23.723,18.497,7.926,8.889,7.666,5.289,4.142,26.114,0.0,0.946,0.843,14.212,12.157,7.909,0.0
2,saharanpur chowk,1.457,1.419,0.0,4.428,5.665,2.021,0.648,6.607,3.234,3.336,0.916,3.274,23.289,18.19,16.677,0.525,6.228,5.276,6.814,4.973,4.637,0.525,6.755,5.098,1.353,4.652,5.75,6.401,3.377,2.391,1.931,0.655,0.393,1.714,1.031,1.748,2.468,1.195,1.195,1.195,1.289,8.158,7.308,1.056,0.938,1.019,1.134,2.337,3.169,3.274,13.337,29.568,7.525,4.399,4.535,1.469,3.393,8.315,2.6,9.182,1.322,3.426,,2.337,1.469,2.274,40.251,19.0,1.222,22.69,23.322,22.69,17.413,6.759,7.828,6.533,4.159,2.944,25.067,1.419,1.316,0.679,13.054,11.534,6.742,1.419
3,isbt dehradun,5.84,5.746,4.428,0.0,1.698,6.405,3.838,4.339,1.212,1.646,4.524,2.488,23.882,17.372,16.157,4.948,7.889,6.913,7.872,6.491,4.75,4.948,9.806,8.096,4.719,7.939,10.0,2.281,4.819,3.106,2.515,4.293,4.189,3.729,5.06,4.366,6.148,5.59,5.59,5.59,5.479,12.511,11.722,3.719,4.05,4.316,4.617,6.587,5.643,2.488,13.87,29.329,4.634,2.502,3.034,5.296,5.806,12.683,5.764,13.605,5.522,7.827,,6.587,5.296,5.396,38.661,18.163,5.512,21.537,21.137,21.537,16.174,6.162,7.553,6.193,4.788,4.11,23.798,5.746,5.122,4.904,11.646,12.5,6.154,5.746
4,graphic era hill university,6.965,6.835,5.665,1.698,0.0,7.511,5.154,3.032,2.724,2.36,5.527,2.831,22.891,16.031,14.91,6.188,7.707,6.823,7.461,6.408,4.436,6.188,10.053,8.422,5.605,8.397,11.385,0.744,5.027,3.753,3.759,5.373,5.356,4.537,6.085,5.925,7.656,6.859,6.859,6.859,6.517,13.822,12.795,4.77,5.074,5.293,5.562,7.583,6.049,2.831,12.99,30.678,5.637,4.122,4.654,6.221,6.162,13.978,6.394,14.793,6.56,8.92,,7.583,6.221,6.07,39.596,19.426,6.595,22.686,21.932,22.686,17.347,7.713,9.106,7.781,6.484,5.789,24.897,6.835,6.065,6.013,12.843,14.134,7.707,6.835
5,asley hall,0.567,0.676,2.021,6.405,7.511,0.0,2.664,7.939,5.231,5.151,1.998,4.862,22.788,18.412,16.796,1.55,5.908,5.142,6.742,4.978,5.441,1.55,5.497,4.081,2.046,3.481,4.288,8.255,3.954,3.886,3.89,2.142,2.216,3.069,1.446,3.232,2.628,1.148,1.148,1.148,1.022,6.434,5.319,2.743,2.438,2.238,2.01,0.594,3.158,4.862,13.068,30.378,9.446,6.347,6.422,1.472,3.323,6.563,2.304,7.284,0.981,1.423,,0.594,1.472,2.258,41.538,20.143,0.917,23.907,24.879,23.907,18.721,8.24,9.128,7.959,5.607,4.522,26.306,0.676,1.565,1.508,14.496,12.131,8.223,0.676
6,matawala bagh,2.103,2.067,0.648,3.838,5.154,2.664,0.0,6.341,2.632,2.879,1.31,2.963,23.57,18.258,16.781,1.131,6.544,5.562,7.049,5.228,4.634,1.131,7.288,5.602,1.742,5.193,6.231,5.881,3.52,2.195,1.395,0.972,0.653,1.7,1.607,1.464,2.669,1.753,1.753,1.753,1.918,8.692,7.931,0.98,1.074,1.296,1.525,2.983,3.512,2.963,13.573,29.25,6.893,3.763,3.92,2.017,3.737,8.858,3.057,9.769,1.953,4.06,,2.983,2.017,2.699,39.782,18.589,1.866,22.252,22.781,22.252,16.953,6.278,7.404,6.075,3.73,2.496,24.62,2.067,1.846,1.293,12.559,11.323,6.262,2.067
7,daudwala,7.497,7.31,6.607,4.339,3.032,7.939,6.341,0.0,4.822,3.736,6.053,3.38,19.885,13.049,11.888,7.057,5.777,5.15,5.198,4.813,2.927,7.057,8.636,7.273,5.9,7.485,12.191,3.179,4.266,4.218,5.142,6.07,6.22,4.968,6.546,7.566,9.007,7.704,7.704,7.704,6.936,14.346,12.793,5.551,5.734,5.819,5.973,7.779,5.386,3.38,10.058,33.643,8.666,6.82,7.346,6.471,5.388,14.457,6.07,14.984,6.973,9.187,,7.779,6.471,5.885,42.61,22.427,7.089,25.713,24.914,25.713,20.369,10.492,11.879,10.505,8.842,7.886,27.928,7.31,6.376,6.651,15.858,16.73,10.484,7.31
8,mathurawala,4.664,4.582,3.234,1.212,2.724,5.231,2.632,4.822,0.0,1.236,3.412,2.056,23.818,17.665,16.359,3.75,7.367,6.36,7.508,5.947,4.463,3.75,8.984,7.255,3.658,7.028,8.79,3.397,4.166,2.307,1.36,3.153,3.017,2.757,3.928,3.206,4.963,4.384,4.384,4.384,4.336,11.299,10.54,2.609,2.941,3.222,3.53,5.447,4.82,2.056,13.762,29.149,5.061,2.259,2.721,4.202,5.007,11.47,4.807,12.401,4.378,6.65,,5.447,4.202,4.426,38.879,18.11,4.353,21.592,21.502,21.592,16.226,5.836,7.191,5.793,4.022,3.142,23.894,4.582,4.024,3.742,11.708,11.916,5.825,4.582
9,vishnupuram,4.606,4.475,3.336,1.646,2.36,5.151,2.879,3.736,1.236,0.0,3.17,0.877,22.592,16.451,15.131,3.855,6.29,5.3,6.349,4.879,3.263,3.855,8.165,6.46,3.272,6.325,9.083,3.103,3.176,1.501,1.513,3.014,3.01,2.218,3.727,3.899,5.496,4.53,4.53,4.53,4.159,11.484,10.441,2.411,2.714,2.938,3.214,5.234,4.009,0.877,12.54,30.384,6.137,3.486,3.956,3.882,4.167,11.635,4.19,12.433,4.202,6.561,,5.234,3.882,3.836,40.064,19.342,4.235,22.811,22.631,22.811,17.444,7.069,8.419,7.018,5.153,4.153,25.106,4.475,3.72,3.655,12.921,13.079,7.058,4.475
